GeneID,Symbol,Entry,Entry Name,Gene Name
23230,VPS13A,Q96RL7,VP13A_HUMAN,VPS13A
23230,VPS13A,Q96RL7,VP13A_HUMAN,CHAC
23230,VPS13A,Q96RL7,VP13A_HUMAN,KIAA0986
259307,IL4I1,Q96RQ9,OXLA_HUMAN,IL4I1
259307,IL4I1,Q96RQ9,OXLA_HUMAN,FIG1
259307,IL4I1,Q96RQ9,OXLA_HUMAN,UNQ636/PRO1265
23048,FNBP1,Q96RU3,FNBP1_HUMAN,FNBP1
23048,FNBP1,Q96RU3,FNBP1_HUMAN,FBP17
23048,FNBP1,Q96RU3,FNBP1_HUMAN,KIAA0554
84219,WDR24,Q96S15,WDR24_HUMAN,WDR24
84219,WDR24,Q96S15,WDR24_HUMAN,C16orf21
84219,WDR24,Q96S15,WDR24_HUMAN,JFP7
26750,RPS6KC1,Q96S38,KS6C1_HUMAN,RPS6KC1
26750,RPS6KC1,Q96S38,KS6C1_HUMAN,RPK118
79156,PLEKHF1,Q96S99,PKHF1_HUMAN,PLEKHF1
79156,PLEKHF1,Q96S99,PKHF1_HUMAN,APPD
79156,PLEKHF1,Q96S99,PKHF1_HUMAN,LAPF
79156,PLEKHF1,Q96S99,PKHF1_HUMAN,ZFYVE15
84925,SLC49A4,Q96SL1,DIRC2_HUMAN,SLC49A4
84925,SLC49A4,Q96SL1,DIRC2_HUMAN,DIRC2
533,ATP6V0B,Q99437,VATO_HUMAN,ATP6V0B
533,ATP6V0B,Q99437,VATO_HUMAN,ATP6F
4758,NEU1,Q99519,NEUR1_HUMAN,NEU1
4758,NEU1,Q99519,NEUR1_HUMAN,NANH
6272,SORT1,Q99523,SORT_HUMAN,SORT1
2852,GPER1,Q99527,GPER1_HUMAN,GPER1
2852,GPER1,Q99527,GPER1_HUMAN,CEPR
2852,GPER1,Q99527,GPER1_HUMAN,CMKRL2
2852,GPER1,Q99527,GPER1_HUMAN,DRY12
2852,GPER1,Q99527,GPER1_HUMAN,GPER
2852,GPER1,Q99527,GPER1_HUMAN,GPR30
5641,LGMN,Q99538,LGMN_HUMAN,LGMN
5641,LGMN,Q99538,LGMN_HUMAN,PRSC1
30849,PIK3R4,Q99570,PI3R4_HUMAN,PIK3R4
30849,PIK3R4,Q99570,PI3R4_HUMAN,VPS15
5025,P2RX4,Q99571,P2RX4_HUMAN,P2RX4
1045,CDX2,Q99626,CDX2_HUMAN,CDX2
1045,CDX2,Q99626,CDX2_HUMAN,CDX3
1130,LYST,Q99698,LYST_HUMAN,LYST
1130,LYST,Q99698,LYST_HUMAN,CHS
1130,LYST,Q99698,LYST_HUMAN,CHS1
7781,SLC30A3,Q99726,ZNT3_HUMAN,SLC30A3
7781,SLC30A3,Q99726,ZNT3_HUMAN,ZNT3
9516,LITAF,Q99732,LITAF_HUMAN,LITAF
9516,LITAF,Q99732,LITAF_HUMAN,PIG7
9516,LITAF,Q99732,LITAF_HUMAN,SIMPLE
21,ABCA3,Q99758,ABCA3_HUMAN,ABCA3
21,ABCA3,Q99758,ABCA3_HUMAN,ABC3
